%time,field.x,field.y,field.z,real->,field.x,field.y
1376085761146750000,20,5,0,,-143.831558228,21
1376085761157110000,20,4,0,,-143.110641479,22
1376085761169890000,22,3,0,,-141.03465271,23
1376085761181240000,21,4,0,,-140.291824341,24
1376085761191070000,21,4,0,,-140.291824341,24
1376085761205040000,14,3,0,,-147.978622437,27
1376085761218680000,14,2,0,,-147.1537323,28
1376085761233330000,15,5,0,,-146.546630859,29
1376085761248610000,16,4,0,,-145.747879028,30
1376085761263260000,10,5,0,,-145.568756104,31
1376085761278580000,48,1,0,,-107.208679199,35
1376085761293090000,47,5,0,,-108.355987549,35
1376085761304290000,46,4,0,,-109.168174744,36
1376085761317670000,44,4,0,,-109.625907898,36
1376085761343410000,14,8,0,,-141.770278931,36
1376085761359520000,14,9,0,,-141.639755249,37
1376085761373440000,14,8,0,,-141.600784302,38
1376085761381490000,16,8,0,,-141.674346924,38
1376085761394550000,16,7,0,,-141.720916748,39
1376085761410830000,16,7,0,,-141.902954102,39
1376085761426760000,13,8,0,,-142.075531006,40
1376085761442060000,15,10,0,,-142.359329224,40
1376085761458270000,15,9,0,,-142.678100586,41
1376085761474040000,12,11,0,,-143.061798096,41
1376085761487740000,16,10,0,,-143.455169678,42
1376085761502880000,16,10,0,,-143.65687561,42
1376085761517820000,16,9,0,,-143.975631714,43
1376085761532560000,17,9,0,,-144.210479736,43
1376085761548800000,15,10,0,,-144.476242065,44
1376085761564470000,15,9,0,,-144.756286621,45
1376085761578820000,15,9,0,,-144.981658936,45
1376085761590380000,14,9,0,,-145.339447021,45
1376085761598310000,14,8,0,,-145.576889038,46
1376085761609980000,14,8,0,,-145.998779297,46
1376085761623040000,13,7,0,,-146.422515869,47
1376085761637000000,27,10,0,,-132.584976196,44
1376085761652640000,32,12,0,,-133.124526978,44
1376085761663370000,34,12,0,,-131.641311646,44
1376085761671940000,33,12,0,,-132.079315186,44
1376085761679270000,33,12,0,,-132.374404907,44
1376085761686190000,33,12,0,,-132.51222229,44
1376085761698700000,33,14,0,,-132.978759766,44
1376085761709400000,32,14,0,,-133.411575317,44
1376085761721280000,32,14,0,,-133.411575317,44
1376085761728770000,32,14,0,,-133.411575317,44
1376085761741990000,15,11,0,,-150.464416504,47
1376085761755710000,202,45,0,,-142.847885132,55
1376085761763920000,211,37,0,,-151.433685303,47
1376085761772330000,211,37,0,,-151.829086304,47
1376085761780000000,25,19,0,,-152.227584839,47
1376085761793570000,25,19,0,,-152.912536621,47
1376085761807640000,24,19,0,,-153.564117432,47
1376085761819560000,23,19,0,,-154.735641479,47
1376085761830010000,22,19,0,,-155.224182129,47
1376085761837730000,22,19,0,,-155.466812134,47
1376085761844880000,21,19,0,,-156.009216309,47
1376085761853630000,21,19,0,,-156.743362427,47
1376085761868680000,20,19,0,,-157.548095703,47
1376085761882330000,19,19,0,,-158.689300537,47
1376085761892990000,18,19,0,,-159.586807251,47
1376085761903890000,17,19,0,,-160.499252319,47
1376085761911320000,17,19,0,,-160.776535034,47
1376085761919420000,16,19,0,,-161.582626343,47
1376085761928070000,15,19,0,,-162.217453003,47
1376085761938500000,15,19,0,,-162.864181519,47
1376085761950210000,14,19,0,,-163.533416748,47
1376085761963550000,13,19,0,,-164.938873291,47
1376085761977970000,12,19,0,,-165.900283813,47
1376085761989320000,10,19,0,,-167.189422607,47
1376085762002080000,9,19,0,,-168.14100647,47
1376085762013400000,8,19,0,,-169.13999939,47
1376085762023000000,7,19,0,,-169.438217163,47
1376085762034920000,7,19,0,,-170.435745239,47
1376085762046950000,6,19,0,,-171.792541504,47
1376085762058120000,5,19,0,,-172.502090454,47
1376085762065340000,4,19,0,,-173.577316284,47
1376085762073880000,4,19,0,,-173.961959839,47
1376085762084950000,2,19,0,,-175.438522339,47
1376085762100050000,1,20,0,,-176.925613403,46
1376085762113200000,0,20,0,,-178.061447144,46
1376085762126540000,340,28,0,,-178.828613281,46
1376085762134560000,17,28,0,,179.975845337,46
1376085762145520000,17,29,0,,179.16947937,45
1376085762157110000,7,3,0,,177.815612793,45
1376085762166080000,6,3,0,,176.396514893,45
1376085762174820000,5,3,0,,175.399887085,45
1376085762188080000,9,12,0,,173.817214966,44
1376085762200800000,7,12,0,,171.791748047,44
1376085762214400000,4,9,0,,170.808959961,43
1376085762223370000,2,9,0,,168.785751343,43
1376085762237790000,10,9,0,,168.25201416,43
1376085762251680000,14,9,0,,172.810760498,43
1376085762264430000,13,9,0,,171.474334717,43
1376085762276650000,6,3,0,,170.498245239,43
1376085762287690000,4,3,0,,168.864837646,43
1376085762295830000,8,5,0,,168.108688354,43
1376085762310180000,6,5,0,,166.863250732,43
1376085762323570000,3,5,0,,165.814163208,43
1376085762334560000,3,5,0,,165.179946899,43
1376085762344920000,3,7,0,,163.673065186,43
1376085762355130000,2,7,0,,162.604507446,43
1376085762364020000,1,7,0,,161.895126343,43
1376085762374370000,9,3,0,,161.566589355,43
1376085762384070000,8,3,0,,160.471664429,43
1376085762394430000,7,3,0,,159.784423828,43
1376085762407170000,4,5,0,,158.842636108,43
1376085762415270000,3,5,0,,157.810653687,43
1376085762428790000,4,2,0,,156.706848145,42
1376085762442100000,3,2,0,,155.663894653,42
1376085762452820000,2,2,0,,154.829345703,42
1376085762466560000,7,4,0,,153.804534912,42
1376085762473630000,7,4,0,,153.024429321,42
1376085762481220000,4,4,0,,152.219467163,42
1376085762490410000,3,3,0,,151.624465942,41
1376085762500380000,2,3,0,,150.672073364,41
1376085762514560000,5,7,0,,149.727355957,41
1376085762525770000,4,7,0,,148.996139526,41
1376085762539070000,4,7,0,,148.46005249,41
1376085762549310000,11,2,0,,147.535003662,40
1376085762561800000,10,2,0,,146.803787231,40
1376085762569340000,8,8,0,,146.561157227,40
1376085762583870000,7,8,0,,145.377685547,40
1376085762595510000,12,8,0,,144.882019043,40
1376085762609400000,12,7,0,,144.092971802,39
1376085762622940000,11,7,0,,143.644271851,39
1376085762635440000,10,6,0,,142.796356201,38
1376085762642820000,10,6,0,,142.484649658,38
1376085762656260000,7,4,0,,141.940628052,38
1376085762663470000,7,4,0,,141.679992676,38
1376085762676560000,7,3,0,,141.304229736,37
1376085762689490000,8,7,0,,140.836135864,37
1376085762697850000,8,7,0,,140.818832397,37
1376085762705430000,8,6,0,,140.485656738,36
1376085762712790000,10,6,0,,140.331466675,36
1376085762721490000,10,6,0,,140.106307983,36
1376085762732200000,9,5,0,,139.940750122,35
1376085762742090000,7,7,0,,139.569641113,35
1376085762752040000,7,6,0,,139.361328125,34
1376085762765420000,9,6,0,,139.217712402,34
1376085762779990000,8,5,0,,138.653930664,33
1376085762794980000,10,5,0,,138.352218628,33
1376085762810510000,9,5,0,,137.978057861,33
1376085762825380000,5,4,0,,137.5650177,32
1376085762840230000,2,10,0,,136.99571228,32
1376085762852590000,2,9,0,,136.748764038,31
1376085762861340000,2,9,0,,136.345489502,31
1376085762870630000,6,9,0,,136.167266846,31
1376085762885160000,5,8,0,,135.409301758,30
